NCBI GeneID	Symbol	Description
7157	TP53	tumor protein p53
1956	EGFR	epidermal growth factor receptor
7124	TNF	tumor necrosis factor
348	APOE	apolipoprotein E
7422	VEGFA	vascular endothelial growth factor A
3569	IL6	interleukin 6
7040	TGFB1	transforming growth factor beta 1
4524	MTHFR	methylenetetrahydrofolate reductase
2064	ERBB2	erb-b2 receptor tyrosine kinase 2
3091	HIF1A	hypoxia inducible factor 1 subunit alpha
2099	ESR1	estrogen receptor 1
3586	IL10	interleukin 10
351	APP	amyloid beta precursor protein
1636	ACE	angiotensin I converting enzyme
672	BRCA1	BRCA1 DNA repair associated
6774	STAT3	signal transducer and activator of transcription 3
4318	MMP9	matrix metallopeptidase 9
1401	CRP	C-reactive protein
3845	KRAS	KRAS proto-oncogene, GTPase
627	BDNF	brain derived neurotrophic factor
673	BRAF	B-Raf proto-oncogene, serine/threonine kinase
9370	ADIPOQ	adiponectin, C1Q and collagen domain containing
367	AR	androgen receptor
207	AKT1	AKT serine/threonine kinase 1
5243	ABCB1	ATP binding cassette subfamily B member 1
3123	HLA-DRB1	major histocompatibility complex, class II, DR beta 1
4790	NFKB1	nuclear factor kappa B subunit 1
7421	VDR	vitamin D receptor
3553	IL1B	interleukin 1 beta
1029	CDKN2A	cyclin dependent kinase inhibitor 2A
5728	PTEN	phosphatase and tensin homolog
1499	CTNNB1	catenin beta 1
7099	TLR4	toll like receptor 4
5743	PTGS2	prostaglandin-endoperoxide synthase 2
4846	NOS3	nitric oxide synthase 3
1080	CFTR	CF transmembrane conductance regulator
1312	COMT	catechol-O-methyltransferase
6622	SNCA	synuclein alpha
3576	CXCL8	C-X-C motif chemokine ligand 8
29126	CD274	CD274 molecule
7015	TERT	telomerase reverse transcriptase
5468	PPARG	peroxisome proliferator activated receptor gamma
6532	SLC6A4	solute carrier family 6 member 4
4609	MYC	MYC proto-oncogene, bHLH transcription factor
4137	MAPT	microtubule associated protein tau
3106	HLA-B	major histocompatibility complex, class I, B
2475	MTOR	mechanistic target of rapamycin kinase
999	CDH1	cadherin 1
3479	IGF1	insulin like growth factor 1
596	BCL2	BCL2 apoptosis regulator
3952	LEP	leptin
7852	CXCR4	C-X-C motif chemokine receptor 4
2944	GSTM1	glutathione S-transferase mu 1
3458	IFNG	interferon gamma
675	BRCA2	BRCA2 DNA repair associated
4193	MDM2	MDM2 proto-oncogene
3717	JAK2	Janus kinase 2
4313	MMP2	matrix metallopeptidase 2
920	CD4	CD4 molecule
4780	NFE2L2	NFE2 like bZIP transcription factor 2
5594	MAPK1	mitogen-activated protein kinase 1
595	CCND1	cyclin D1
3605	IL17A	interleukin 17A
5054	SERPINE1	serpin family E member 1
5444	PON1	paraoxonase 1
6347	CCL2	C-C motif chemokine ligand 2
1234	CCR5	C-C motif chemokine receptor 5
1026	CDKN1A	cyclin dependent kinase inhibitor 1A
5290	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
23411	SIRT1	sirtuin 1
332	BIRC5	baculoviral IAP repeat containing 5
4879	NPPB	natriuretic peptide B
2952	GSTT1	glutathione S-transferase theta 1
6647	SOD1	superoxide dismutase 1
7097	TLR2	toll like receptor 2
4851	NOTCH1	notch receptor 1
960	CD44	CD44 molecule (Indian blood group)
1493	CTLA4	cytotoxic T-lymphocyte associated protein 4
2950	GSTP1	glutathione S-transferase pi 1
2147	F2	coagulation factor II, thrombin
3146	HMGB1	high mobility group box 1
4233	MET	MET proto-oncogene, receptor tyrosine kinase
3105	HLA-A	major histocompatibility complex, class I, A
472	ATM	ATM serine/threonine kinase
6387	CXCL12	C-X-C motif chemokine ligand 12
1813	DRD2	dopamine receptor D2
2153	F5	coagulation factor V
3119	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1
3815	KIT	KIT proto-oncogene, receptor tyrosine kinase
2908	NR3C1	nuclear receptor subfamily 3 group C member 1
3077	HFE	homeostatic iron regulator
2146	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit
7515	XRCC1	X-ray repair cross complementing 1
3162	HMOX1	heme oxygenase 1
1565	CYP2D6	cytochrome P450 family 2 subfamily D member 6
3383	ICAM1	intercellular adhesion molecule 1
5970	RELA	RELA proto-oncogene, NF-kB subunit
6696	SPP1	secreted phosphoprotein 1
1557	CYP2C19	cytochrome P450 family 2 subfamily C member 19
50943	FOXP3	forkhead box P3
154	ADRB2	adrenoceptor beta 2
2100	ESR2	estrogen receptor 2
3606	IL18	interleukin 18
120892	LRRK2	leucine rich repeat kinase 2
355	FAS	Fas cell surface death receptor
2932	GSK3B	glycogen synthase kinase 3 beta
3135	HLA-G	major histocompatibility complex, class I, G
5925	RB1	RB transcriptional corepressor 1
1432	MAPK14	mitogen-activated protein kinase 14
3565	IL4	interleukin 4
5133	PDCD1	programmed cell death 1
3480	IGF1R	insulin like growth factor 1 receptor
7450	VWF	von Willebrand factor
142	PARP1	poly(ADP-ribose) polymerase 1
335	APOA1	apolipoprotein A1
177	AGER	advanced glycosylation end-product specific receptor
183	AGT	angiotensinogen
5979	RET	ret proto-oncogene
6714	SRC	SRC proto-oncogene, non-receptor tyrosine kinase
857	CAV1	caveolin 1
51738	GHRL	ghrelin and obestatin prepropeptide
2706	GJB2	gap junction protein beta 2
3688	ITGB1	integrin subunit beta 1
79068	FTO	FTO alpha-ketoglutarate dependent dioxygenase
10413	YAP1	Yes1 associated transcriptional regulator
3690	ITGB3	integrin subunit beta 3
4292	MLH1	mutL homolog 1
64127	NOD2	nucleotide binding oligomerization domain containing 2
836	CASP3	caspase 3
3630	INS	insulin
5621	PRNP	prion protein
1543	CYP1A1	cytochrome P450 family 1 subfamily A member 1
3958	LGALS3	galectin 3
4582	MUC1	mucin 1, cell surface associated
1906	EDN1	endothelin 1
6648	SOD2	superoxide dismutase 2
6667	SP1	Sp1 transcription factor
9429	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)
3934	LCN2	lipocalin 2
4153	MBL2	mannose binding lectin 2
5879	RAC1	Rac family small GTPase 1
3043	HBB	hemoglobin subunit beta
4312	MMP1	matrix metallopeptidase 1
6531	SLC6A3	solute carrier family 6 member 3
1027	CDKN1B	cyclin dependent kinase inhibitor 1B
1559	CYP2C9	cytochrome P450 family 2 subfamily C member 9
324	APC	APC regulator of WNT signaling pathway
5595	MAPK3	mitogen-activated protein kinase 3
8626	TP63	tumor protein p63
114548	NLRP3	NLR family pyrin domain containing 3
185	AGTR1	angiotensin II receptor type 1
3075	CFH	complement factor H
3725	JUN	Jun proto-oncogene, AP-1 transcription factor subunit
3791	KDR	kinase insert domain receptor
4000	LMNA	lamin A/C
8743	TNFSF10	TNF superfamily member 10
3557	IL1RN	interleukin 1 receptor antagonist
1576	CYP3A4	cytochrome P450 family 3 subfamily A member 4
338	APOB	apolipoprotein B
581	BAX	BCL2 associated X, apoptosis regulator
4282	MIF	macrophage migration inhibitory factor
3417	IDH1	isocitrate dehydrogenase (NADP(+)) 1
1588	CYP19A1	cytochrome P450 family 19 subfamily A member 1
238	ALK	ALK receptor tyrosine kinase
3949	LDLR	low density lipoprotein receptor
4255	MGMT	O-6-methylguanine-DNA methyltransferase
5747	PTK2	protein tyrosine kinase 2
387	RHOA	ras homolog family member A
5071	PRKN	parkin RBR E3 ubiquitin protein ligase
2322	FLT3	fms related receptor tyrosine kinase 3
23435	TARDBP	TAR DNA binding protein
4288	MKI67	marker of proliferation Ki-67
5663	PSEN1	presenilin 1
2332	FMR1	fragile X messenger ribonucleoprotein 1
3107	HLA-C	major histocompatibility complex, class I, C
4982	TNFRSF11B	TNF receptor superfamily member 11b
54658	UGT1A1	UDP glucuronosyltransferase family 1 member A1
2033	EP300	E1A binding protein p300
3082	HGF	hepatocyte growth factor
6772	STAT1	signal transducer and activator of transcription 1
7490	WT1	WT1 transcription factor
929	CD14	CD14 molecule
19	ABCA1	ATP binding cassette subfamily A member 1
4869	NPM1	nucleophosmin 1
6331	SCN5A	sodium voltage-gated channel alpha subunit 5
1277	COL1A1	collagen type I alpha 1 chain
2157	F8	coagulation factor VIII
4843	NOS2	nitric oxide synthase 2
6934	TCF7L2	transcription factor 7 like 2
7428	VHL	von Hippel-Lindau tumor suppressor
2247	FGF2	fibroblast growth factor 2
59272	ACE2	angiotensin converting enzyme 2
7276	TTR	transthyretin
861	RUNX1	RUNX family transcription factor 1
282617	IFNL3	interferon lambda 3
3320	HSP90AA1	heat shock protein 90 alpha family class A member 1
3552	IL1A	interleukin 1 alpha
3757	KCNH2	potassium voltage-gated channel subfamily H member 2
4204	MECP2	methyl-CpG binding protein 2
2335	FN1	fibronectin 1
4023	LPL	lipoprotein lipase
5265	SERPINA1	serpin family A member 1
1815	DRD4	dopamine receptor D4
2068	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit
213	ALB	albumin
3039	HBA1	hemoglobin subunit alpha 1
3064	HTT	huntingtin
3356	HTR2A	5-hydroxytryptamine receptor 2A
54106	TLR9	toll like receptor 9
217	ALDH2	aldehyde dehydrogenase 2 family member
5241	PGR	progesterone receptor
10	NAT2	N-acetyltransferase 2
1071	CETP	cholesteryl ester transfer protein
2697	GJA1	gap junction protein alpha 1
3558	IL2	interleukin 2
5599	MAPK8	mitogen-activated protein kinase 8
5781	PTPN11	protein tyrosine phosphatase non-receptor type 11
841	CASP8	caspase 8
1471	CST3	cystatin C
2321	FLT1	fms related receptor tyrosine kinase 1
5578	PRKCA	protein kinase C alpha
7316	UBC	ubiquitin C
10891	PPARGC1A	PPARG coactivator 1 alpha
25	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase
255738	PCSK9	proprotein convertase subtilisin/kexin type 9
3065	HDAC1	histone deacetylase 1
3265	HRAS	HRas proto-oncogene, GTPase
3309	HSPA5	heat shock protein family A (Hsp70) member 5
4436	MSH2	mutS homolog 2
6790	AURKA	aurora kinase A
8074	FGF23	fibroblast growth factor 23
1869	E2F1	E2F transcription factor 1
1950	EGF	epidermal growth factor
2067	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit
4314	MMP3	matrix metallopeptidase 3
4353	MPO	myeloperoxidase
56729	RETN	resistin
6513	SLC2A1	solute carrier family 2 member 1
2152	F3	coagulation factor III, tissue factor
3481	IGF2	insulin like growth factor 2
3627	CXCL10	C-X-C motif chemokine ligand 10
3953	LEPR	leptin receptor
4128	MAOA	monoamine oxidase A
4170	MCL1	MCL1 apoptosis regulator, BCL2 family member
